,Name,Accessible_Len,N_Accessible_Len,Total_Len
89,LakeQuannapowitt,0.0,1.10839998722076,1.10839998722076
90,MacombersCreek,1.64100003242493,0.0,1.64100003242493
91,RiverMeadowBrook,0.0,11.0725002288818,11.0725002288818
92,PawtucketDamcanals,0.0,4.366093039512636,4.366093039512636
93,DowBrookReservoir,0.0,0.5200591906905175,0.5200591906905175
94,NeponsetRiver,5.17614984512329,7.4309401512146,12.60708999633789
95,MartinsPond,0.0,0.588248014450073,0.588248014450073
96,MartinsBrook,0.0,4.5507698059082,4.5507698059082
97,PennBrook,2.83280992507935,0.0,2.83280992507935
98,WalkerCreek,2.44939994812012,0.517197012901306,2.966596961021426
99,DikesPond,0.0,0.491461008787155,0.491461008787155
100,JonesRivercreek,0.400629997253418,0.0,0.400629997253418
101,LobsterCove,0.896396994590759,0.0,0.896396994590759
